Username,Numbers,Rank,rankLevel,mainrole,Main
Kimmilk,#999,ascendant,1,controller,clove
mandu,#aman,iron,3,initiator,skye
Thors,#IHNE1,bronze,3,controller,miks
likecrayzy,#8339,bronze,3,sentinel,deadlock
toshiro,#Filo,ascendant,1,sentinel,chamber
crab,#6157,silver,1,sentinel,sage
NightKnight,#3333,ascendant,2,initiator,skye
miwako,#7878,diamond,2,duelist,reyna
Sdya,#Ego,ascendant,3,controller,miks
Lobster,#6240,diamond,1,controller,clove
KINGxSl1c,#4758,silver,1,sentinel,chamber
bublegumyummy,#247,iron,2,duelist,pheonix
coral,#18060,gold,1,controller,clove
mqcx,#cstr,ascendant,2,initiator,fade
Octo,#1998,bronze,3,sentinel,chamber
Peppa,#meow,platinum ,3,initiator,skye
b2o,#006,platinum ,3,initiator,skye
Octopus,#0007,gold,1,duelist,jett
MRCROW,#8827,iron,3,controller,omen
TheStoryOfJoseph,#6786,iron,3,initiator,skye
simplify,#SNT,ascendant,3,sentinel,chamber
Wheat,#Dino,iron ,2,sentinel,cypher
Octopus,#2901,platinum ,1,controller,clove
Yinhang666,#2010,bronze,1,duelist,iso
Bear,#1001,gold,3,controller,clove
Kliss,#8942,immortal,1,initiator,fade
Manatee,#xoxo,gold,3,controller,viper
ItsJoey,#16675,ascendant,3,duelist,jett
LUFFY,#TAPS,ascendant,3,duelist,neon
Coolnic,#NA1,iron,2,initiator,skye
Dolphin,#16629,silver,2,sentinel,chamber
Jellyfish,#00002,bronze,1,sentinel,sage
G3NIUS,#1112,ascendant,2,duelist,pheonix
MeowLord,#meows,ascendant,2,sentinel,chamber
Crab,#2410,silver,2,sentinel,sage
xensz,#luv,diamond,2,initiator,sova
Parabited,#2263,iron,3,controller,miks
Sym,#BAD,ascendant,1,duelist,pheonix
mss,#0516,diamond,1,duelist,jett
luketheduke91,#9191,iron ,1,duelist,jett
HYUNWOO,#5346,ascendant,1,sentinel,cypher
scrim14,#NA1,bronze,1,initiator,fade
lucifer8679,#NA1,bronze,1,sentinel,deadlock
limitless,#9535,ascendant,3,duelist,neon
LifeofAkane,#Zane,silver,1,initiator,gekko
x4h13x,#1395,iron,2,duelist,pheonix
kinuyyy,#00000,diamond,2,sentinel,cypher
nabi,#nexx,ascendant,1,sentinel,killjoy
Buprenorphine,#00001,platinum ,1,duelist,raze
unikaaa,#11111,bronze,2,sentinel,sage
EnzoFrosotyy,#1744,platinum ,3,controller,clove
ScaredOfWomen,#babad,bronze,2,controller,miks
Mxru,#481,ascendant,1,duelist,iso
RubyChan,#99999,diamond,2,controller,clove
crab,#0710,platinum ,2,duelist,neon
Henny,#ThatB,iron,1,sentinel,killjoy
crab,#6438,silver,3,sentinel,killjoy
MonkeyJazz,#5181,platinum ,3,initiator,gekko
FeistyIssues,#06152,bronze,2,initiator,breach
JERKZ,#ttv,ascendant,3,duelist,neon
tceps,#0219,silver,2,controller,miks
Kimmilk,#1123,platinum ,1,controller,miks
Wxzard,#G59,platinum ,3,initiator,tejo
Nagi,#sesi,platinum ,3,duelist,reyna
Kalbochoy,#0524,iron,2,initiator,fade
HypeBoy,#217,platinum ,3,initiator,breach
danieltiger,#6767,iron,1,sentinel,veto
